Australia,Austria,Belgium,Canada,Denmark,Finlad,France,Germany,Italy,Japan,Netherlands,New Zealand,Norway,Spain,Sweden,Switzerland,UK,USA
NA,1.01,0.02,12.93,NA,2.95,0.69,20.84,0.32,0.02,5.08,0.03,15.28,NA,NA,2.71,5.39,30.55
NA,0.96,0.33,14.72,5.21,2.14,3.16,15.76,0.62,NA,6.65,0.03,22.76,NA,NA,2.66,6.05,61.67
6.62,1.06,0.26,12.66,6.95,1.83,2.53,16.62,0.61,NA,14.08,NA,18.3,NA,NA,4.83,17.77,7.69
6.19,4.18,0.01,7.32,NA,4.58,2.48,15.76,0.65,0.01,10.3,0.07,15.67,NA,NA,2.18,13.7,6.05
8.76,2.63,1.4,24.13,4.07,4.11,1.29,17.97,0.59,0.02,11.56,NA,19.72,0.15,NA,3.84,13.96,NA
0.45,0.84,0.02,9.45,NA,4.28,2.25,11.5,0.86,0.02,9.75,0.03,19.77,NA,20.41,6.11,13.24,NA
0.18,3.67,NA,16.01,NA,4.24,1.33,16.39,0.4,0.14,9.72,0.01,17.55,0.21,25.66,4.21,6.37,40.59
7,10.75,NA,13.18,17.14,4.14,0.63,10.7,0.71,0.21,12,0.11,14.48,NA,23.29,12.68,19.12,14.81
15.92,18.11,6.86,28.59,10.4,19.09,11.12,65.27,22.11,0.58,70.42,0.6,82.48,11.34,33.56,19.6,55.72,19.85
29.28,24.58,12.16,84.22,61.28,27.81,11.81,140.66,35.65,98.6,72.11,2.08,120.2,31.13,63.17,20.2,192.55,685.04
15.13,10.84,4.39,129.51,0.03,17.87,17.56,88.96,42.56,100.71,74.96,1.32,122.56,7.23,47.32,27.25,129.85,1171.06
32.2,9.38,26.58,94.94,3.59,15.87,28.77,89.63,28.16,158.4,84.79,9.96,110.03,20.34,82.73,28.48,255.45,1704.33
28.46,9.35,6.5,266.99,60.1,38.47,12.09,102.05,27.74,98.47,67.77,10.56,83.46,22.38,7.59,21.45,245.59,2037.69
16,1.45,9.24,134.49,21.51,13.82,25.57,138.45,57.46,102.26,96.47,4.39,134.8,20.32,141.1,34.59,264.06,1651.79
45.85,0.73,12.74,647.13,13.9,29.36,16.67,244.1,45.81,88.56,159.95,8.91,106.9,43.33,20.63,29.29,257.58,2412.32
193.87,0.84,18.03,332.91,109.33,19.52,19.73,344.28,150.64,188.37,202.26,9.94,201.68,14.42,40.57,17.39,332.03,3644.38
106.98,0.94,15.01,222.56,40.46,45.26,68.27,321.97,70.65,336.27,289.71,8.19,174.46,51.01,104.71,35.09,433.2,3382.3
102.95,2.58,16.16,107.48,66.06,37.28,76.89,612.15,81.13,813.93,88.32,1.84,282.23,41.43,252.38,17.85,228.88,3713.85
140.92,1,13.46,170.49,105.39,53.4,98.75,612.64,54.42,742.5,110.09,25.35,56.73,61.74,54.81,13.61,297.41,3342.38
0.02,9.86,NA,0.16,NA,0.65,1.97,29.82,30.26,0.43,2.51,NA,1.37,NA,2.06,0.8,2.4,23.37
NA,6.22,0.38,NA,0.1,NA,5.54,11.23,5.42,21.84,12.86,NA,0.81,NA,0.22,0.48,2.69,22.23
NA,16.81,0.82,0.07,8.97,0.15,1.86,38.56,32.76,19.49,7.16,NA,1.72,NA,0.04,0.66,3.57,50.58
NA,3.1,0.11,NA,NA,0.16,2.43,46.71,33.12,34.33,3.12,NA,1.17,NA,NA,23.73,3.01,36.42
NA,4.27,0.25,0.67,NA,0.59,2.14,21.09,19.83,1.84,5.82,NA,2.92,0.36,NA,7.39,2.08,37.93
NA,7.94,NA,0.85,NA,0.36,1.74,28.84,28.61,1.46,1.18,NA,5.36,1.8,1.79,7.87,1.24,43.78
NA,28.73,4.93,0.42,24.53,0.53,2.49,48.16,129.18,12.5,0.27,NA,15.45,18.97,7,46.09,23.57,89.29
NA,9.72,1.64,5.9,NA,0.57,5.87,35.69,53.54,4.86,9.05,NA,26.29,2.94,2.02,24.58,14.5,89.3
0.05,2.84,NA,0.17,0.12,3.59,2.33,15.82,19.2,7.09,9.42,NA,4.66,2.76,11.63,21,8.35,68.09
NA,3.19,NA,0.09,1.25,0.78,2.81,21.76,42.02,3.6,2.47,NA,26.37,2.39,9.89,7.88,7.14,60.65
NA,4.16,0.01,0.08,0.24,1.22,10.31,31.48,61.95,2,1.65,NA,9.47,2.5,2.93,5.05,5.94,55.19
NA,8.5,0.76,0.58,0.07,2.37,4.87,72.41,38.58,4.89,9.89,NA,13.18,1.98,8.58,11.27,4.6,48.48
NA,8.88,0.63,NA,NA,1.68,4.62,51.75,24.2,0.94,1.44,NA,9.52,9.24,23.53,11.54,4.22,48.58
NA,6.64,0.06,0.41,NA,0.24,4.2,32.06,179.01,1.99,4.67,NA,7.48,4.16,12.31,11.96,3.87,46.4
NA,5.43,NA,0.55,NA,0.67,5,43.2,15.11,1.29,15.43,NA,6.88,19.39,10.49,29.1,6.48,27.11
0.01,7.72,0.82,0.05,NA,0.89,4.38,44.83,22.72,108.25,13.27,NA,4.25,19.08,4.09,11.72,2.85,45.06
0.03,11.47,0.01,0.05,5.87,0.17,4.24,20.87,16.62,9.33,1.15,NA,2.3,3.47,7.31,7.08,1.68,33.69
0.01,13.28,0.05,NA,0.03,1.33,4.82,201.46,10.2,3.01,0.36,NA,3.3,0.78,10.5,19.77,0.95,31.72
0.01,10.66,0.02,0.05,1.92,0.12,4.08,26,5.79,2.39,NA,NA,1.39,0.69,13.96,31.59,0.74,22.77
NA,0.4,3.04,6.33,NA,NA,265.87,3,38.16,4.66,0.16,NA,NA,171.96,0.21,1.49,1.03,NA
NA,0.54,2.13,0.99,NA,NA,261.38,11.49,2.14,2.13,NA,NA,NA,NA,NA,1.18,1.15,0.91
NA,1.8,8.67,21.03,NA,NA,115.79,7.56,16.15,8.9,3.18,NA,0.35,NA,NA,0.89,0.47,NA
NA,1.2,16.08,0.65,NA,NA,150.74,360.36,8.29,0.95,0.86,NA,0.32,NA,NA,0.88,0.16,NA
NA,0.57,7,1.26,NA,NA,90.53,15.22,3.02,17.51,NA,NA,0.14,3.91,NA,0.7,0.16,NA
NA,1.33,6.12,1.76,NA,NA,85.94,14.15,2.49,0.49,0.22,NA,3.58,1.63,4.22,1.18,0.23,NA
NA,1.48,8.94,0.76,NA,NA,76.25,7.46,2.49,0.83,0.04,NA,2.3,8.13,2.89,1.31,0.07,0.43
NA,0.35,2.03,4.58,NA,0.02,63.47,8.72,3.69,0.98,NA,NA,0.96,32.67,0.66,4.03,NA,1.1
NA,0.33,21.6,5.39,NA,0.33,69.75,10.72,8.08,1.02,0.48,NA,0.8,23.16,3.17,2.09,0.35,0.26
NA,0.73,2.28,2.23,1.54,0.33,92.7,5.25,29.62,0.72,NA,0.01,NA,61.18,1.13,1.44,NA,4.03
NA,1.06,6.78,5.63,NA,0.36,258.72,14.37,8.52,1.49,1.49,0.01,6.15,28.35,2.81,2.45,1.03,4.01
NA,0.67,2.07,25.82,NA,NA,234.5,4.48,2.79,2.34,0.08,NA,2.59,38.11,0.73,2.34,0.02,5.08
NA,1.07,24.56,5.07,NA,0.28,310.55,37.74,5.51,21.36,0.07,NA,1.07,20.25,2.86,2.96,NA,1.34
NA,0.15,24.82,7.3,NA,0.68,139.36,5.16,7.13,10.11,0.13,NA,1.38,114.32,0.76,2.34,NA,3.27
NA,0.16,20.91,0.93,NA,1.26,186.83,19.99,2.06,3.21,NA,NA,1.49,93.2,0.95,2.95,0.55,4.96
NA,0.15,7.23,2.25,NA,0.49,142.96,9.71,6.92,1.57,NA,NA,0.06,5.08,2.28,2.61,2.17,12.82
NA,0.13,20.74,4.41,NA,0.59,137.65,12.86,2.17,1.41,NA,NA,1.09,9.11,3.19,0.45,4.22,11.85
NA,0.12,9.57,0.33,NA,0.31,136.73,19.61,0.02,1.81,0.16,NA,0.98,7.36,NA,1.2,2.63,14.66
0.06,0.15,7.47,0.22,NA,0.17,142.13,11.36,0.57,1.79,0.07,NA,0.75,25.75,4.78,2.46,1.62,10.08
0.16,0.72,5.44,4.38,NA,2.13,3.14,8.49,9.81,0.12,1.63,NA,13.14,NA,33.14,4.88,5.23,14.62
NA,0.13,5.03,10.88,NA,2.43,4.69,16.12,7.41,0.13,4.65,0.06,29.5,NA,22.19,5.94,5.86,65.63
4.51,2.72,0.84,6.83,NA,2.03,10.27,20.84,35.04,4.38,45.37,NA,58.42,NA,19.45,5.05,34.92,73.39
5.12,4.11,15.83,3.94,1.45,5.22,11.43,39.95,13.63,5.86,34.73,0.14,46.64,134.32,26.93,11.36,25.47,81.7
3.7,2.94,9.09,8.37,NA,0.99,6.64,25.36,1.6,20.33,18.83,NA,47.57,26.52,26.55,10.07,7.93,37.15
1.69,1.56,6.01,4.92,6.14,4.1,6.44,8.81,9.79,29.53,9.76,NA,39.37,84.35,52.5,6.67,15.16,57.97
0.14,1.61,3.24,5.64,NA,3.99,6.07,16.33,17.35,4.79,13.25,NA,79.86,61.94,13.59,10.86,5.15,67
1.4,0.66,2.47,6.48,NA,1.56,6.62,8.1,9.76,26.02,11.25,NA,50.65,31.39,30.34,6.8,12.5,83.43
NA,0.07,4.59,4.27,NA,6.43,13.33,8.14,13.31,43.87,16.63,NA,42.25,19.56,17.19,7.25,12.36,46.92
NA,0.64,2.33,4.82,1.11,6.14,8.22,14.85,19.16,34.84,15.63,NA,55.26,23.34,23.45,10.57,15.06,163.32
NA,0.16,3.92,10.13,NA,4.62,34.03,17.07,19.69,30.06,14.47,0.38,28.3,15.22,19.54,10.48,18.15,191.17
0.08,0.19,2.19,3.2,NA,7.54,20.79,8.82,29.2,4.64,11.79,NA,27.15,11.39,24.32,11.76,17.2,140.93
0.05,2.17,3.11,1.18,NA,3.46,10.32,9.05,1.65,20,6.42,NA,40.21,19,17.29,6.12,15.69,75.29
0.15,0.04,1.46,2.14,5.83,3.49,10.54,9.28,3.6,21.89,2.55,0.08,24.65,18.14,5.3,3.8,13.52,55.42
NA,0.03,0.56,18.92,3.05,3.95,7.9,6.4,4.13,22.08,0.7,0.11,23.84,26.5,4.29,2.49,9.62,54.06
NA,0.04,0.9,0.31,3.85,0.51,7.37,8.71,31.68,46.5,1.15,NA,18.09,283.43,2.27,1.58,9.84,60.84
NA,0.06,0.74,2.89,1.16,3.43,6.83,6.67,2.89,6.22,0.62,NA,22.16,23.52,1.83,0.35,4.62,56
NA,0.02,0.86,0.26,1.13,1.56,6.17,8.37,1.02,25.5,1.12,NA,5.3,36.89,2.93,0.8,15.94,108.12
0.19,0.02,2.24,0.86,1.17,1.15,4.59,6.58,3.19,13.25,0.35,NA,22.02,2.05,NA,0.82,0.36,77.67
NA,NA,NA,NA,NA,NA,NA,0.01,NA,NA,NA,NA,NA,NA,NA,NA,4.35,NA
NA,NA,NA,0.04,NA,NA,NA,0.01,NA,NA,NA,NA,NA,NA,NA,NA,4.87,NA
