Australia,Austria,Belgium,Canada,Denmark,Finland,France,Germany,Italy,Japan,Netherlands,New Zealand,Norway,Spain,Sweden,Switzerland,UK,USA
NA,NA,NA,850,NA,NA,NA,5605,NA,NA,NA,NA,NA,NA,144,NA,NA,NA
NA,NA,NA,722,NA,NA,NA,5919,NA,NA,NA,NA,NA,NA,305,NA,NA,NA
NA,NA,NA,1391,NA,NA,111,8679,NA,NA,NA,NA,22,NA,235,NA,NA,NA
NA,NA,NA,2010,335,NA,131,7019,NA,NA,NA,NA,4,NA,570,NA,NA,NA
368,NA,NA,2115,319,8,92,5526,NA,NA,NA,NA,34,2,612,NA,NA,1127
620,198,NA,1583,443,15,87,4768,NA,NA,NA,NA,42,4,381,NA,51,830
852,553,NA,2111,610,65,117,5893,105,NA,NA,NA,217,7,407,NA,69,877
887,828,NA,2845,1629,238,189,6434,34,NA,567,341,520,34,888,NA,78,1011
456,1539,NA,3182,2819,327,248,6384,NA,NA,541,341,888,26,1030,NA,833,1202
660,1101,NA,2971,1201,354,142,3896,48,NA,597,289,1106,28,979,NA,NA,1759
1015,743,NA,3010,678,234,149,2606,50,NA,803,101,1354,16,964,NA,NA,1252
1340,650,NA,2527,455,284,136,2313,64,NA,513,627,699,31,964,NA,NA,2137
3463,652,NA,2908,233,264,151,1600,145,NA,461,153,826,34,656,NA,NA,4749
3465,498,NA,2552,127,261,134,1283,171,313,387,48,598,50,1669,NA,NA,3417
2560,530,NA,2262,114,242,114,1201,856,348,224,242,559,60,835,NA,NA,1753
2033,958,138,1810,154,219,179,1855,1175,364,236,75,785,68,1033,NA,NA,2813
2009,1422,150,1507,325,226,226,4622,1017,430,289,158,1386,92,1558,NA,NA,3165
3171,1281,208,1545,669,321,363,7377,694,560,338,91,1417,73,1920,245,NA,2017
3427,2908,285,1975,710,373,465,9321,847,553,275,72,1095,69,3415,175,1000,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,87,1786,NA,NA,NA,NA,20,NA,NA,NA,NA,NA
NA,NA,NA,103,NA,NA,95,1426,NA,NA,NA,NA,11,NA,NA,NA,NA,4374
93,NA,NA,268,19,7,94,2175,NA,NA,NA,NA,18,19,NA,NA,NA,4220
82,223,NA,547,14,4,155,1760,11246,NA,NA,NA,19,48,NA,NA,NA,3695
53,279,NA,1222,14,13,179,2122,28668,NA,NA,NA,65,16,NA,NA,NA,4755
64,192,NA,1773,15,9,226,1412,31992,NA,71,4,39,85,62,NA,NA,4358
90,279,NA,1613,27,12,244,1490,27727,NA,74,15,42,94,46,NA,NA,3765
75,226,NA,985,22,8,251,1667,24478,NA,77,8,41,131,58,NA,NA,3362
404,231,NA,819,10,15,334,1670,49296,NA,58,3,31,123,66,NA,NA,3840
135,253,NA,1378,36,24,419,1355,38807,NA,58,10,57,218,68,NA,NA,5947
